Eggplant Parmesan II,"This is a no fry variation of this popular dish, and is just as delicious!",4,1 hr,true
Egg and Sausage Casserole,"This recipe was given to me by a friend several years ago. It's easy to make and always a hit! Co-workers beg for it, and it's my husband's favorite!",5,50 mins,false
Vegetarian Kale Soup,"This wonderful soup will warm your insides, delight your taste buds, and fill your stomach on a cold winter's night. It is full of dark green kale, potatoes, and cannellini beans.",5,55 mins,true
